Date,Close/Last,Volume,Open,High,Low,Day
45712,719,1740,725,733.05,719,0
45709,728.545,823,735,739.47,724.51,1
45708,730,1126,725,739,723.1,2
45707,722.3939,1552,727.4199,727.42,714.71,3
45706,737.99,1873,743.25,743.25,732.65,4
45702,744.4,1084,750,756.41,738.6163,5
45701,743.04,1361,730,743.04,726.94,6
45700,725.4,1084,708,727.57,700.5,7
45699,710,1852,707,715.29,704.396,8
45698,707,768,702.71,709.99,700,9
45695,702.71,1614,716.6,720.2,702.71,10
45694,722.4125,1361,714.36,725.28,714.36,11
45693,715.68,1737,713.02,721.43,707.4999,12
45692,723.25,929,712.86,724,712.86,13
45691,708.28,2357,707.68,718.72,696.86,14
45688,725.9,2211,731.82,737.8821,725.45,15
45687,748,1177,749.35,754.6,743.45,16
45686,746.68,2216,739.27,748.53,735.34,17
45685,748.74,5854,791.54,794.174,730,18
45684,794.75,2860,776.452,795,776.452,19
45681,772,2471,763.42,775,762.88,20
45680,753.68,2662,744.87,755,743.04,21
45679,741.2,6510,741,744.56,740.13,22
45678,734.67,3851,726.52,737.106,722.7799,23
45674,711.05,1163,712.1,714.145,706.94,24
45673,716.8,4575,700.74,720.48,698.85,25
45672,653.38,2129,670,670,653.38,26
45671,667.4338,1194,674.57,679.92,665.84,27
45670,664.044,3417,661.41,668.14,657,28
45667,662.75,3756,665.91,672.08,656.26,29
45665,655,509,655.2,659.91,648.45,30
45664,667.112,3369,655,670.72,655,31
45663,659.25,4755,650.81,662.482,640,32
45660,633.56,5292,637.34,637.34,627.5,33
45659,649.82,2697,650.01,655.13,644,34
45657,656.7,4085,655,666.47,651.75,35
45656,656,2637,662.33,662.33,651.286,36
45653,664.495,5105,659.63,665,657.3,37
45652,664.75,1527,656.27,664.75,653.95,38
45650,658,920,659.99,660,652,39
45649,656.67,3158,650,659.5,646.03,40
45646,655.1,2872,652.35,661.54,646.37,41
45645,653,2776,653.56,658.144,647.21,42
45644,645.21,2571,660.43,669.328,645.21,43
45643,668.21,4974,664.48,671.56,663.38,44
45642,663.5,4343,661.99,669.91,657.07,45
45639,672.54,1860,679.84,679.84,668,46
45638,668.52,2934,678.11,682.272,668.52,47
45637,679.58,3184,675,680,673.12,48
45636,668.785,3106,677.8,677.8,667,49
45635,688,6357,687.85,695,687.85,50
45632,667.83,6567,667.77,670,662.265,51
45631,642.25,1762,639,646.698,633.3657,52
45630,639,2052,647.19,647.19,637.25,53
45629,642.71,7406,645.06,645.06,637.79,54
